BLT--	00000001000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000001000000000000000100000000    	00000001000000000000000100000000    	0		00000000000000000000000000000000    	00011	0	BLT--
LH---	00000000000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000100000000    	00000000000000000000000100000000    	0		00000000000000000000000000000000    	00011	0	LH---
LW---	00000000000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000100000000    	00000000000000000000000100000000    	0		00000000000000000000000000000000    	00011	0	LW---
LBU--	00000000000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000100000000    	00000000000000000000000100000000    	0		00000000000000000000000000000000    	00011	0	LBU--
LHU--	00000000000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000100000000    	00000000000000000000000100000000    	0		00000000000000000000000000000000    	00011	0	LHU--
SW---	00000000000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000000000000	00000000000000000000000100000000    	0		00000000000000000000000000000000	00011	0	SW---
ADDI-	00000000000000000000000000001000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000100001000	00000000000000000000000100001000	0		00000000000000000000000000000000	00011	0	ADDI-
XORI-	00000000000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000100000000    	00000000000000000000000100000000    	0		00000000000000000000000000000000	00011	0	XORI-
ORI--	00000000000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000100000000    	00000000000000000000000100000000    	0		00000000000000000000000000000000	00011	0	ORI--
ANDI-	00000000000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000000000000	00000000000000000000000000000000	0		00000000000000000000000000000000	00011	0	ANDI-
SLLI-	00000000000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000000000000	00000000000000000000000000000000	0		00000000000000000000000000000000	00011	0	SLLI-
SRAI-	00000000000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000000000000	00000000000000000000000000000000	0		00000000000000000000000000000000	00011	0	SRAI-
SLLr-	00000001000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000001000000000000000000000000    	00000001000000000000000000000000    	0		00000000000000000000000000000000	00011	0	SLLr-
SLTr-	00000001000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000000000000	00000001000000000000000100000000	0		00000000000000000000000000000000	00011	0	SLTr-
SLTUr	00000001000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000000000000	00000001000000000000000100000000	0		00000000000000000000000000000000	00011	0	SLTUr
XORr-	00000001000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000000000000000000000100000000	00000001000000000000000100000000	0		00000000000000000000000000000000	00011	0	XORr-
SRLr-	00000001000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000001000000000000000000000000	00000001000000000000000000000000	0		00000000000000000000000000000000	00011	0	SRLr-
SRAr-	00000001000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000001000000000000000000000000	00000001000000000000000000000000	0		00000000000000000000000000000000	00011	0	SRAr-
ORr--	00000001000000000000000000000000    	00000000000000000000000100000000    	00000000000000000000000000000000	00011 	00000001000000000000000100000000	00000001000000000000000100000000	0		00000000000000000000000000000000	00011	0	ORr--
NOP--	00000000000000000000000000000000    	00000000000000000000000000000000    	00000000000000000000000000000000    	00011 	00000000000000000000000000000000	00000000000000000000000000000000	0		00000000000000000000000000000000	00011	0	NOP--
